goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=4/mix=all_ro/shape=large_10k-10                  	40279382	        15.45 ns/op	647070.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=large_10k-10                  	37035703	        17.03 ns/op	587102.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=large_10k-10                  	20568254	        30.02 ns/op	333115.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=large_10k-10                  	21776673	        28.04 ns/op	356675.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=large_10k-10                 	 9243324	        67.29 ns/op	148617.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=large_10k-10                 	10410732	        61.43 ns/op	162777.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=large_10k-10                    	265582401	         2.255 ns/op	4434611.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=large_10k-10                    	239596638	         2.508 ns/op	3986810.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=large_10k-10                    	     278	   2329671 ns/op	   4.29 MB/s	 2602282 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=large_10k-10                    	     276	   2043556 ns/op	   4.89 MB/s	 2602280 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=large_10k-10                    	     153	   3882068 ns/op	   2.58 MB/s	 5204562 B/op	  100018 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=large_10k-10                    	     147	   4127472 ns/op	   2.42 MB/s	 5204564 B/op	  100018 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=large_10k-10                    	      56	   9749530 ns/op	   1.03 MB/s	10409121 B/op	  200036 allocs/op
