goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=8/mix=all_ro/shape=rich_100x5x50x10-10           	16734261	        30.19 ns/op	828085.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=rich_100x5x50x10-10          	10672477	        58.83 ns/op	424977.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=rich_100x5x50x10-10          	10747704	        57.51 ns/op	434687.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=rich_100x5x50x10-10             	245921250	         2.104 ns/op	11882963.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=rich_100x5x50x10-10             	286824650	         2.178 ns/op	11479796.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=rich_100x5x50x10-10             	      57	  10077896 ns/op	   2.48 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=rich_100x5x50x10-10             	      56	  10690592 ns/op	   2.34 MB/s	18293730 B/op	  326503 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=rich_100x5x50x10-10             	      25	  20034063 ns/op	   1.25 MB/s	36587460 B/op	  653006 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=rich_100x5x50x10-10             	      27	  21465474 ns/op	   1.16 MB/s	36587470 B/op	  653006 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=rich_100x5x50x10-10             	      13	  40536878 ns/op	   0.62 MB/s	73174921 B/op	 1306012 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=rich_100x5x50x10-10             	      13	  43407417 ns/op	   0.58 MB/s	73174925 B/op	 1306012 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=rich_100x5x50x10-10            	       7	  82228042 ns/op	   0.30 MB/s	146349888 B/op	 2612024 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=rich_100x5x50x10-10            	       6	  86840910 ns/op	   0.29 MB/s	146349848 B/op	 2612024 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	85457400	         7.107 ns/op	3517856.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=rich_100x5x50x10-10  	82778601	         6.955 ns/op	3594303.77 MB/s	       0 B/op	       0 allocs/op
