goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=4/mix=one_real_mut_rest_ro/shape=medium_1k-10    	    3391	    193414 ns/op	   5.17 MB/s	  260689 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=8/mix=one_real_mut_rest_ro/shape=medium_1k-10    	    3079	    225401 ns/op	   4.44 MB/s	  260690 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=8/mix=one_real_mut_rest_ro/shape=medium_1k-10    	    3141	    215241 ns/op	   4.65 MB/s	  260689 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=16/mix=one_real_mut_rest_ro/shape=medium_1k-10   	    3129	    190763 ns/op	   5.24 MB/s	  260688 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=16/mix=one_real_mut_rest_ro/shape=medium_1k-10   	    3464	    201719 ns/op	   4.96 MB/s	  260689 B/op	    5011 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=large_10k-10                 	84820639	         7.693 ns/op	1299827.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=large_10k-10                 	83336677	         7.189 ns/op	1390980.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=large_10k-10                 	     214	   2436677 ns/op	   4.10 MB/s	 2602281 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=large_10k-10                 	     298	   2078819 ns/op	   4.81 MB/s	 2602278 B/op	   50009 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=large_10k-10                 	      74	   7673034 ns/op	   1.30 MB/s	 7806858 B/op	  150027 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=large_10k-10                 	      91	   7193014 ns/op	   1.39 MB/s	 7806836 B/op	  150027 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=large_10k-10                 	      37	  14817450 ns/op	   0.67 MB/s	18215961 B/op	  350063 allocs/op
